Track Name,Artist,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Tempo,Key,Mode,Liked
Period,PURPLE KISS,0.633,0.656,-4.073,0.561,0.0,0.104,0.03,106.951,2,0,1
Rapport - Scar version.,キタニタツヤ,0.575,0.946,-5.084,0.000793,4.48e-05,0.386,0.0966,124.033,8,0,1
Hands Up,Cherry Bullet,0.741,0.91,-1.602,0.163,0.0,0.174,0.0455,89.974,5,0,1
MIROH,Stray Kids,0.565,0.976,-3.199,0.00946,0.0,0.337,0.132,126.067,9,1,1
Bios-LaZaRuS,SawanoHiroyuki[nZk]:Gemie&Tielle,0.544,0.931,-4.421,0.00139,7.81e-06,0.0924,0.0543,96.985,5,0,1
Weirdo Hoes,Lil Durk,0.765,0.706,-4.493,0.013,0.0,0.12,0.31,153.138,2,1,1
Airplane pt.2 - Japanese ver.,BTS,0.752,0.782,-5.173,0.04,1.04e-06,0.0841,0.0297,139.994,0,0,1
Cudi Montage,KIDS SEE GHOSTS,0.729,0.504,-6.784,0.401,1.44e-06,0.121,0.0321,110.011,8,0,1
Conversation,TWICE,0.817,0.649,-4.79,0.17,0.0,0.303,0.183,106.974,1,0,1
Next Level - Lionclad Remix,aespa,0.703,0.892,-4.369,0.236,5.41e-06,0.168,0.237,109.1,0,0,0
STRAWBERRY サディスティック,E-girls,0.693,0.965,-2.786,0.0555,0.0,0.0769,0.0829,150.047,8,1,0
I Won't Flex,Young Nudy,0.794,0.477,-8.386,0.148,0.00057,0.0927,0.187,160.934,0,1,0
Emoji A Chain,Migos,0.894,0.324,-8.24,0.0399,0.0,0.126,0.179,139.972,1,1,0
Olivia,One Direction,0.64,0.681,-5.362,0.0438,0.0,0.166,0.0334,118.062,6,1,0
Killer,UnoTheActivist,0.876,0.817,-5.403,0.152,0.0188,0.0917,0.148,154.957,0,1,0
Intro (Back on that BS),Young Nudy,0.521,0.547,-9.383,0.133,3.33e-05,0.0993,0.347,139.611,9,1,0
L$D,A$AP Rocky,0.598,0.252,-15.086,0.194,0.133,0.0992,0.0644,120.064,2,1,1
GANG,Yung Bans,0.621,0.684,-6.678,4.78e-05,1.73e-06,0.358,0.0403,150.05,2,1,1
so far ahead > empire,Gunna,0.607,0.47,-7.586,0.278,0.0,0.184,0.182,163.969,2,0,1
Real in My Veins (feat. T-Shyne),Young Thug,0.635,0.632,-8.21,0.000185,0.0,0.0615,0.275,162.023,5,0,1
Likey,TWICE,0.72,0.904,-1.276,0.437,0.000551,0.117,0.0332,131.988,4,0,1
Shoota (feat. Lil Uzi Vert),Playboi Carti,0.673,0.649,-8.433,0.188,0.0,0.122,0.196,153.075,1,0,0
Dumhdurum,Apink,0.655,0.921,-2.162,0.137,0.0,0.151,0.0606,114.913,8,0,1
Die4Guy,Playboi Carti,0.759,0.67,-5.188,0.00471,0.0,0.0889,0.0589,148.938,1,0,0
TURN IT UP,TWICE,0.828,0.812,-3.572,0.0625,0.0,0.14,0.0521,119.991,1,0,1
Last Breath,Future,0.675,0.758,-4.589,0.431,0.00177,0.377,0.0368,89.982,4,0,1
Wild for the Night (feat. Skrillex & Birdy Nam Nam),A$AP Rocky,0.757,0.848,-4.234,0.0481,0.0,0.121,0.335,139.995,2,1,1
Burn Ya,Young Nudy,0.815,0.387,-7.059,0.0356,3.6e-06,0.127,0.404,149.994,1,1,0
AFTER MOON,TWICE,0.693,0.644,-3.961,0.511,0.0,0.122,0.0342,97.017,5,1,1
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,0.559,0.491,-6.406,0.0567,0.0,0.0992,0.0346,153.131,2,0,1
DR. EV4L,Young Nudy,0.85,0.497,-7.251,0.128,0.0,0.102,0.314,142.928,1,1,0
Gas Station,Young Nudy,0.764,0.577,-7.697,0.12,0.0,0.228,0.0553,150.992,0,1,0
Friday,Young Nudy,0.796,0.484,-7.131,0.17,0.0,0.151,0.149,137.901,10,0,0
Eye Sight,UnoTheActivist,0.78,0.296,-17.588,0.0093,0.00442,0.11,0.149,157.26,2,1,0
Overdrive,Drake,0.502,0.645,-10.611,0.444,0.00964,0.107,0.122,109.739,2,0,0
Call of Silence,Hiroyuki Sawano,0.504,0.38,-11.826,0.642,0.857,0.0697,0.037,123.911,6,0,1
Who You Foolin,Gunna,0.916,0.756,-7.653,0.0942,0.0,0.23,0.188,115.69,0,1,1
Our First Time,Bruno Mars,0.709,0.45,-8.267,0.419,0.0,0.241,0.0428,77.986,9,0,0
><⋃⊃⊃∑,Vokeebokæybgo Lochtyblchvvaii,0.119,0.288,-17.211,0.903,0.943,0.0703,0.0399,95.559,11,1,1
Why Not?,LOONA,0.806,0.934,-0.836,0.104,0.00108,0.0618,0.11,128.016,2,1,1
DEPEND ON YOU,TWICE,0.676,0.597,-6.249,0.0953,0.0,0.455,0.0387,100.156,5,1,1
Tears Tears,TakaseToya,0.542,0.655,-8.195,0.0761,0.0,0.26,0.0308,159.894,1,1,1
edge of chainsaw,Kensuke Ushio,0.247,0.847,-6.282,3.31e-06,0.844,0.373,0.0716,169.989,10,0,1
Peaches & Eggplants (feat. 21 Savage),Young Nudy,0.911,0.536,-7.884,0.00897,3.73e-06,0.111,0.282,146.014,4,0,0
Even Heaven,Aimer,0.566,0.483,-8.601,0.00205,0.0,0.335,0.0269,129.976,2,0,1
No Clue (feat. Lil Yachty),Young Nudy,0.593,0.692,-10.082,0.169,0.0,0.1,0.483,131.07,2,1,0
Marvelous Day (feat. Lil Uzi Vert & Gunna),Kap G,0.846,0.651,-5.481,0.634,0.0,0.125,0.128,140.048,7,0,1
CC,Migos,0.85,0.731,-6.705,0.231,0.0,0.0886,0.193,134.009,9,0,0
Heartless (feat. Mustard),Polo G,0.776,0.64,-8.058,0.149,0.0,0.101,0.184,160.038,7,1,1
Whistle,Dreamcatcher,0.658,0.859,-2.258,0.0189,1.04e-05,0.253,0.0553,131.975,5,0,1
What's the Move (feat. Lil Uzi Vert),Young Thug,0.961,0.438,-7.877,0.0431,0.0,0.139,0.31,124.018,7,1,1
2Face (feat. G Herbo),Young Nudy,0.565,0.47,-8.715,0.0821,0.0016,0.189,0.493,159.998,1,1,0
Been Thuggin,Young Nudy,0.849,0.373,-14.423,0.429,0.0,0.242,0.522,143.1,9,1,0
The Act (Better You),MadeinTYO,0.699,0.533,-4.444,0.252,0.0,0.0919,0.0391,147.072,5,0,0
ユメセカイ,Haruka Tomatsu,0.504,0.696,-3.33,0.297,0.0,0.0824,0.0258,162.055,3,1,0
"1, 3, 2 (JEONGYEON, MINA, TZUYU)",TWICE,0.656,0.875,-2.739,0.0799,0.0,0.222,0.0463,88.938,0,0,1
Baby Sasuke,Future,0.66,0.633,-5.782,0.689,0.0,0.129,0.149,145.995,3,0,1
Every Since,UnoTheActivist,0.707,0.849,-7.166,0.034,0.0,0.155,0.221,140.172,8,0,0
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,0.753,0.686,-5.415,0.0677,0.0,0.193,0.284,132.055,1,0,1
ICU,aespa,0.677,0.641,-3.607,0.536,0.0,0.365,0.0411,101.841,4,1,0
Touché (Feat. MOON),WOODZ,0.749,0.499,-6.575,0.0914,0.0,0.0889,0.0739,141.991,9,0,1
Illusion,One Direction,0.562,0.703,-5.457,0.00205,0.0,0.15,0.0361,122.986,1,1,0
Reset,UnoTheActivist,0.749,0.547,-9.558,0.727,0.000929,0.265,0.106,103.277,5,0,0
Hotter Than Hell,Dua Lipa,0.532,0.868,-4.23,0.011,0.0,0.0584,0.0908,110.127,3,0,1
Work Hard,Migos,0.799,0.673,-5.076,0.0439,0.0,0.133,0.0572,147.98,8,0,0
Tiny Dancers,Aimer,0.662,0.805,-4.08,0.00448,0.0,0.114,0.0296,129.996,4,1,1
Steal My Girl,One Direction,0.536,0.768,-5.948,0.00433,0.0,0.114,0.0347,77.217,10,0,0
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.783,-4.424,0.237,0.0,0.434,0.266,77.011,11,0,0
UK Talk,SPLURGE,0.911,0.282,-6.363,7.85e-05,2.86e-06,0.0882,0.513,115.199,1,1,0
can't leave without it,21 Savage,0.872,0.591,-6.952,0.111,0.0,0.144,0.359,131.982,6,0,1
90210 (feat. Kacy Hill),Travis Scott,0.402,0.526,-6.741,0.113,8.33e-06,0.105,0.0904,81.404,9,0,1
Ikno That,UnoTheActivist,0.606,0.426,-11.646,0.647,0.0,0.107,0.0878,137.654,10,0,0
Grand Escape (feat. Toko Miura),RADWIMPS,0.566,0.534,-7.414,0.243,8.28e-05,0.116,0.0356,146.033,4,1,1
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,0.803,0.585,-5.861,0.103,3.94e-06,0.0644,0.0432,105.017,8,1,0
Night Changes,One Direction,0.672,0.52,-7.747,0.859,0.0,0.115,0.0353,120.001,8,1,0
Ditto,NewJeans,0.814,0.641,-5.957,0.027,0.0,0.0993,0.111,133.854,6,0,0
蛍,Maiko Fujita,0.515,0.658,-6.241,0.621,0.0,0.113,0.0291,161.9,6,0,1
Dexter X Uno,UnoTheActivist,0.828,0.157,-20.53,0.0334,4.17e-05,0.124,0.278,144.028,8,0,0
Stylish,LOONA,0.551,0.694,-3.672,0.241,0.0,0.0856,0.0401,159.859,9,1,1
Reverse/Re:birth,伊達 明(C.V.岩永洋昭),0.585,0.968,-4.252,0.000723,1.79e-06,0.321,0.11,94.99,7,1,1
Pure Cocaine,Lil Baby,0.964,0.487,-6.071,0.00127,6.57e-06,0.115,0.421,127.05,10,0,1
Fish N Grits (feat. Travis Scott),Wale,0.894,0.54,-6.766,0.0344,0.0,0.11,0.151,135.05,4,0,1
Dreams Come True - Instrumental,aespa,0.655,0.814,-3.179,0.00566,0.579,0.101,0.0322,99.002,7,1,0
LOVE FOOLISH,TWICE,0.721,0.84,-2.298,0.118,4.3e-06,0.0576,0.0971,114.965,2,0,1
Dreamcatcher (feat. Swae Lee & Travis Scott),Metro Boomin,0.675,0.23,-10.363,0.191,0.0,0.104,0.204,173.962,1,0,1
START!,SPLURGE,0.877,0.367,-7.113,0.000598,0.000844,0.111,0.58,129.992,2,0,0
sh0ut,SawanoHiroyuki[nZk],0.682,0.942,-4.243,0.0458,0.0,0.356,0.0552,105.989,6,0,1
Same Yung Nigga (feat. Playboi Carti),Gunna,0.852,0.568,-9.202,0.183,0.0,0.0993,0.344,81.526,1,0,1
Solitaires (feat. Travis Scott),Future,0.691,0.632,-7.598,0.122,0.0,0.0646,0.0513,169.982,1,1,1
first death,TK from Ling tosite sigure,0.32,0.969,-3.397,1.76e-05,0.00609,0.304,0.129,164.182,8,1,1
pick up the phone,Young Thug,0.711,0.739,-3.804,0.114,0.0,0.226,0.129,136.919,7,0,1
haze,TK from Ling tosite sigure,0.429,0.833,-4.682,0.0833,0.00916,0.119,0.0552,87.539,8,1,1
INVU,TAEYEON,0.599,0.816,-3.412,0.0911,2.17e-06,0.0961,0.0556,106.962,11,0,1
Bag,SPLURGE,0.794,0.466,-7.498,0.654,0.0,0.147,0.508,135.081,10,0,0
Double Back,UnoTheActivist,0.875,0.529,-10.237,0.263,5.74e-06,0.063,0.137,127.83,5,1,0
D4L,Future,0.718,0.706,-5.709,0.0128,0.0,0.352,0.06,170.004,1,1,1
Notice Me,Migos,0.793,0.344,-9.757,0.112,1.68e-06,0.15,0.357,166.105,6,1,0
On The Moon,UnoTheActivist,0.623,0.495,-12.349,0.000375,2.06e-06,0.12,0.143,82.72,1,1,0
KIDRA,PKCZ(R),0.589,0.792,-6.352,0.00072,0.748,0.537,0.0439,140.072,8,1,1
PULL UP,VIVIZ,0.853,0.732,-2.944,0.0485,0.0,0.0693,0.113,111.008,8,1,0
No Disrespect,Young Nudy,0.779,0.511,-7.827,0.0121,0.0,0.116,0.224,77.98,8,1,0
February,A Boogie Wit da Hoodie,0.416,0.572,-6.699,0.123,0.0,0.195,0.253,89.902,5,0,0
Self Control,YoungBoy Never Broke Again,0.82,0.697,-7.296,0.0349,0.0,0.197,0.378,154.992,6,0,0
Seeking the Truth,Hiroaki Tsutsumi,0.65,0.752,-10.578,0.736,0.804,0.106,0.0383,90.0,0,0,1
Jumbotron Shit Poppin,Drake,0.799,0.575,-6.257,0.221,0.0,0.196,0.282,99.026,6,0,0
The Other Side (feat. CeeLo Green and B.o.B),Bruno Mars,0.555,0.814,-3.927,0.0993,3.7e-06,0.128,0.0303,140.081,5,0,0
how you did that (feat. Kodak Black),Gunna,0.821,0.572,-6.192,0.00495,0.0,0.107,0.166,155.699,5,0,1
殉教者,Yasuharu Takanashi,0.402,0.74,-10.005,2.96e-05,0.942,0.105,0.0409,75.034,0,1,1
Let It Go,UnoTheActivist,0.42,0.615,-8.45,0.00719,0.0,0.134,0.039,155.124,1,1,0
Butter,BTS,0.759,0.459,-5.187,0.00323,0.0,0.0906,0.0948,109.997,8,1,0
SUN GOES DOWN,Lil Nas X,0.549,0.643,-6.808,0.0792,1.21e-05,0.107,0.0543,174.041,9,1,0
3 Headed Snake (feat. Young Thug),Gunna,0.914,0.415,-10.708,0.0536,0.0,0.131,0.464,135.03,6,1,1
Hot Wings,Young Nudy,0.881,0.467,-7.228,0.0201,1.54e-05,0.111,0.279,163.108,10,1,0
Beasty,A Boogie Wit da Hoodie,0.86,0.418,-9.061,0.292,0.0,0.106,0.158,126.023,7,0,0
Wicked For The Money (feat. 2FeetBino),Young Nudy,0.712,0.699,-7.367,0.00155,0.00133,0.109,0.0546,156.036,1,1,0
Big Shot,Gunna,0.82,0.551,-6.144,0.0301,5.92e-06,0.134,0.125,156.983,2,1,1
ever after,Aimer,0.491,0.638,-5.753,0.21,0.0,0.346,0.0623,176.059,8,1,1
Bought A Bad Bitch,Future,0.866,0.72,-6.641,0.112,0.0,0.172,0.0646,136.077,7,0,1
火炎,QUEEN BEE,0.521,0.933,-4.874,0.034,2.07e-05,0.33,0.179,169.842,11,0,1
Who You Foolin',UnoTheActivist,0.87,0.532,-12.204,0.0374,0.0,0.126,0.246,117.889,5,0,0
Unicorn Purp (feat. Young Thug & Gunna),Future,0.833,0.761,-4.905,0.0158,1.41e-06,0.161,0.195,134.047,11,1,1
No Comprende,Young Nudy,0.951,0.485,-5.609,0.479,0.0,0.0907,0.0918,130.021,11,1,0
BRE@TH//LESS,Hiroyuki Sawano,0.688,0.828,-4.922,0.0107,3.06e-05,0.313,0.041,120.043,9,1,1
Tally,BLACKPINK,0.688,0.637,-4.85,0.00777,0.0,0.13,0.031,129.902,2,1,1
NO. 9,Playboi Carti,0.885,0.607,-7.642,0.00973,0.0,0.325,0.385,137.887,1,0,0
Star Lost,Stray Kids,0.745,0.867,-3.056,0.0734,0.0,0.172,0.0734,128.05,0,1,1
Love You Goodbye,One Direction,0.546,0.657,-4.787,0.0928,0.0,0.119,0.0332,133.188,1,1,0
Codeine Crazy,Future,0.745,0.617,-7.22,0.168,0.0,0.389,0.144,125.98,6,0,1
Let Me Hear,"Fear, and Loathing in Las Vegas",0.175,0.995,1.023,0.000145,2.5e-06,0.214,0.211,184.066,6,0,1
HATENA,PENGUIN RESEARCH,0.495,0.936,-3.046,0.000237,0.00245,0.0512,0.158,91.522,4,0,1
